Location_Name,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,Phone,URL,Vaccine_type,Booking_walk,Days,Blank,Age,
Dundas West Village Pharmacy,Pharmacy,"2940 Dundas Street West, Toronto, ON",Toronto,Ontario,M6P 1Y8,CA,43.6656136,-79.4675601,416-761-9036,dundaswestpharmacy.ca,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 8 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 11 a.m. to 5 p.m",-,40+,
East York Pharmasave,Pharmacy,"840 Coxwell Avenue, Unit 102, Toronto, ON",Toronto,Ontario,M4C 5T2,CA,43.6900078,-79.326603,416-613-9511,pharmasave.com/toronto-east-york/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 5 p.m.
Saturday: 9 a.m. to 5 p.m.",-,40+,
Forest Hill Pharmacy,Pharmacy,"491 Eglinton Avenue West, Unit 102, Toronto, ON",Toronto,Ontario,M5N 1A8,CA,43.7034249,-79.4128462,416-619-7768,www.foresthillpharmacy.com,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 5 p.m.
Saturday: 10 a.m. to 2 p.m.",-,40+,
Friendly Care West King Pharmacy,Pharmacy,"2077 Weston Road, Toronto, ON",Toronto,Ontario,M9N 1X7,CA,43.7022155,-79.5224508,416-248-4485,westkingpharmacy.com,Pfizer,Appoinment/Booking,"Monday - Friday: 9:30 a.m. to 6:30 p.m.
Saturday - Sunday: 10 a.m. to 1 p.m.",-,18+,
Glen Park Pharmacy,Pharmacy,"2920 Dufferin Street, Toronto, ON",Toronto,Ontario,M6B 3S8,CA,43.7085848,-79.4539933,416-256-1111,,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 4 p.m.
Saturday: 9 a.m. to 1 p.m.
Sunday: closed",-,40+,
Green Pharmacy,Pharmacy,"620A Bloor Street West, Toronto, ON",Toronto,Ontario,M6G 1K7,CA,43.6646663,-79.4141443,416-530-4004,www.pharmachoice.com,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 6 p.m.
Saturday: 10 a.m. to 2 p.m",-,40+,
Greendale Drugs,Pharmacy,"152 Carlton Street, Toronto, ON",Toronto,Ontario,M5A 2K1,CA,43.6630098,-79.3745838,416-967-6610,CareandCure.com,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 6 p.m.
Saturday: 10 a.m. to 4 p.m.",-,40+,
Healing Arts Pharmacy,Pharmacy,"170 The Donway West, Unit 113, Toronto, ON",Toronto,Ontario,M3C 2J2,CA,43.7354112,-79.3480078,416-444-2604,,AstraZeneca,Appoinment/Booking,"Sunday: closed
Monday - Thursday: 9:30 a.m. to 7 p.m.
Friday: 9:30 a.m. to 6 p.m.
Saturday: 9:30 a.m. to 4 p.m.",-,40+,
Healing Source Pharmacy,Pharmacy,"2209 Bloor Street West, Toronto, ON",Toronto,Ontario,M6S 1N5,CA,43.6510068,-79.4757716,416-769-1717,healingsourcepharmacy.ca,AstraZeneca,Appoinment/Booking,"Monday - Thursday: 9 a.m. to 7 p.m.
Friday: 9 a.m. to 6 p.m.
Saturday: 9:30 a.m. to 3:30 p.m.",-,40+,
High Park Pharmacy,Pharmacy,"1938 Bloor Street West, Toronto, ON",Toronto,Ontario,M6P 3K8,CA,43.6533747,-79.4667907,416-769-2222,www.medspharmacy.ca/high-park-pharmacy,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 9 a.m. to 5 p.m.",-,40+,
Islington Medical Pharmacy,Pharmacy,"1243 Islington Avenue, Toronto, ON",Toronto,Ontario,M8X 1Y9,CA,43.6458499,-79.5235344,416-239-1243,islingtonmedicalpharmacy.com/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 5:30 p.m.
Saturday: 10 a.m. to 2 p.m.",-,40+,
Jarvis St. Apothecary,Pharmacy,"275 Jarvis Street, Toronto, ON",Toronto,Ontario,M5B 2C2,CA,43.6582621,-79.374726,416-792-1959,jarvis-st-apothecary.business.site/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 6:30 p.m.
Saturday: 9 a.m. to 5 p.m.",-,40+,
Junction Chemist Pharmacy,Pharmacy,"17 St Johns Road, Toronto, ON",Toronto,Ontario,M6P 1T7,CA,43.6652578,-79.473926,647-748-3784,www.junctionchemist.com/,AstraZeneca,Appoinment/Booking,"Sunday: 11 a.m. to 3 p.m.
Monday - Wednesday: 9 a.m. to 7 p.m.
Thursday & Friday: 10 a.m. to 6 p.m.
Saturday: 10 a.m. to 5 p.m.",-,40+,
Junction Pharmacy,Pharmacy,"3016 Dundas Street West, Toronto, ON",Toronto,Ontario,M6P 1Z3,CA,43.6656651,-79.4699271,416-763-2394,www.medspharmacy.ca/junction-pharmacy,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 11 a.m. to 4 p.m.",-,40+,
Lapsley Pharmacy,Pharmacy,"27 Lapsley Road, Toronto, ON",Toronto,Ontario,M1B 1K1,CA,43.7957493,-79.2261707,416-291-3773,,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 7 p.m.
Saturday: 8 a.m. to 5 p.m.",-,40+,
Lawlor Pharmasave,Pharmacy,"944 Kingston Road, Toronto, ON",Toronto,Ontario,M4E 1S7,CA,43.6805978,-79.288133,,lawlor.medmeapp.ca/schedule/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 8 p.m.
Saturday - Sunday: 9 a.m. to 6 p.m.",-,40+,
Lefko Pharmasave #794,Pharmacy,"842 Wilson Avenue, Toronto, ON",Toronto,Ontario,M3K 1E5,CA,43.7308124,-79.4673782,416-635-6802,ps794.medmeapp.ca/schedule,AstraZeneca,Appoinment/Booking,"Monday - Friday: 10 a.m. to 6 p.m.
Saturday: 10 a.m. to 3 p.m.",-,40+,
Lingeman I.D.A. Pharmacy,Pharmacy,"411 Jane Street, Toronto, ON",Toronto,Ontario,M6S 3Z6,CA,43.6587064,-79.4880308,416-767-8409,www.guardian-ida-pharmacies.ca/en/ontario/toronto/lingeman-ida-pharmacy-7028510,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9:30 a.m. to 7 p.m.
Saturday: 9 a.m. to 4 p.m",-,40+,
Loblaw,Pharmacy,"585 Queen Street West, Toronto, ON",Toronto,Ontario,M5V 2B7,CA,43.6473554,-79.4016963,,loblaws.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 6 p.m.
Saturday - Sunday: 10 a.m. to 5 p.m.",-,40+,
Loblaw,Pharmacy,"396 St. Clair Avenue West, Toronto, ON",Toronto,Ontario,M5P 3N3,CA,43.6841477,-79.4153394,416-651-5145,loblaws.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 8 p.m.
Saturday - Sunday: 9 a.m. to 6 p.m.",-,40+,
Loblaw,Pharmacy,"2280 Dundas Street West, Toronto, ON",Toronto,Ontario,M6R 1X4,CA,43.6556207,-79.4498001,416-533-0770,loblaws.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 7 a.m. to 6 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Loblaw,Pharmacy,"11 Redway Road, Toronto, ON",Toronto,Ontario,M4H 1P6,CA,43.6990972,-79.3597232,416-425-8433,loblaws.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 8 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Loblaw,Pharmacy,"5095 Yonge Street East, Toronto, ON",Toronto,Ontario,M2M 3V7,CA,43.7687022,-79.4123463,416-512-9436,loblaws.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 8 p.m.
Saturday: 10 a.m. to 6 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Loblaw,Pharmacy,"10 Lower Jarvis Street, Toronto, ON",Toronto,Ontario,M5E 1Z2,CA,43.6447705,-79.3701389,416-304-0619,loblaws.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 7 a.m. to 7 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 10 a.m. to 6 p.m.",-,40+,
Loblaw,Pharmacy,"2877 Bayview Avenue, Toronto, ON",Toronto,Ontario,M2K 2S3,CA,43.76875,-79.387239,416-733-1350,loblaws.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 10 a.m. to 6 p.m.",-,40+,
Loblaw,Pharmacy,"60 Carlton Street, Toronto, ON",Toronto,Ontario,M5B 1L1,CA,43.6621911,-79.3802435,416-593-1542,loblaws.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 7 a.m. to 7 p.m.
Saturday - Sunday: 9 a.m. to 6 p.m.",-,40+,
Loblaw,Pharmacy,"17 Leslie Street, Toronto, ON",Toronto,Ontario,M4M 3H9,CA,43.6608701,-79.3284242,416-968-7283,loblaws.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 8 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 9 a.m. to 5 p.m.",-,40+,
Loblaw,Pharmacy,"50 Musgrave Street, Toronto, ON",Toronto,Ontario,M4E 3W2,CA,43.6885028,-79.2882397,416-694-6263,loblaws.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 7 a.m. to 7 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 10 a.m. to 6 p.m.",-,40+,
Main Drug Mart,Pharmacy,"1646 Victoria Park Avenue, Unit 7, Toronto, ON",Toronto,Ontario,M1R 1P7,CA,43.7309565,-79.3057989,416-752-9088,,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 5 p.m.
Saturday: 9 a.m. to 2 p.m.",-,40+,
Markland Wood Pharmacy,Pharmacy,"4335 Bloor Street West, Toronto, ON",Toronto,Ontario,M9C 2A5,CA,43.6308387,-79.5757084,416-621-2000,www.marklandwoodpharmacy.ca,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 9 a.m. to 4 p.m.
Sunday: 12 p.m. (noon) to 4 p.m.",-,40+,
Metro Drugs,Pharmacy,"129 Dundas Street East, Toronto, ON",Toronto,Ontario,M5B 2N6,CA,43.6565539,-79.3761617,416-363-7300,www.metrodrugs.ca,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 6 p.m.
Saturday - Sunday: 9 a.m. to 4 p.m.",-,40+,
Metro Pharmacy,Pharmacy,"3003 Danforth Avenue, Toronto, ON",Toronto,Ontario,M4C 1M9,CA,43.6896746,-79.2906481,,metropharmacy.medmeapp.com/schedule,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 8 p.m.
Saturday: 9 a.m. to 7 p.m.
Sunday: 10 a.m. to 6 p.m.",-,40+,
Morelli's Pharmacy,Pharmacy,"15 York Street, Toronto, ON",Toronto,Ontario,M5J 0A3,CA,43.6421609,-79.3806942,416-815-1200,morellis15yorkst.medmeapp.ca/schedule/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9:30 a.m. to 6 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Mortar + Pestle Compounding Pharmacy,Pharmacy,"1997 Bloor Street West, Toronto, ON",Toronto,Ontario,M6S 1M4,CA,43.6521306,-79.4708218,416-901-8020,www.mortarpestle.ca,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 5 p.m.
Saturday: 10 a.m. to 2 p.m.",-,40+,
New Caledonia Pharmacy,Pharmacy,"600 Caledonia Road, Toronto, ON",Toronto,Ontario,M6E 4V5,CA,43.6933118,-79.4623036,416-785-8385,,AstraZeneca,Appoinment/Booking,"Monday - Thurday: 9 a.m. to 6:30 p.m.
Friday: 9 a.m. to 5 p.m.
Saturday: 9 a.m. to 2:30 p.m.",-,40+,
Nhatrang Drug Mart,Pharmacy,"736 Wilson Avenue, Toronto, ON",Toronto,Ontario,M3K 1E2,CA,43.7315504,-79.4639874,416-635-1586,,AstraZeneca,Appoinment/Booking,"Monday - Friday: 2 p.m. to 6:30 p.m.
Saturday: 2 p.m. to 6:30 p.m.",-,40+,
No Frills,Pharmacy,"25 Photography Drive, Toronto, ON",Toronto,Ontario,M6M 0A1,CA,43.686662,-79.4839226,416-763-1502,www.nofrills.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 8 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: closed",-,40+,
No Frills,Pharmacy,"222 Lansdowne Avenue, Toronto, ON",Toronto,Ontario,M6K 3C6,CA,43.649696,-79.4403251,416-588-7744,www.nofrills.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
No Frills,Pharmacy,"449 Carlaw Avenue, Toronto, ON",Toronto,Ontario,M4K 3H9,CA,43.6688158,-79.3419791,416-462-0651,www.nofrills.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 8 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
No Frills,Pharmacy,"200 Front Street East, Toronto, ON",Toronto,Ontario,M5A 4T9,CA,43.6514188,-79.3659472,416-363-6412,www.nofrills.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 8 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
No Frills,Pharmacy,"1020 Islington Avenue, Toronto, ON",Toronto,Ontario,M8Z 4R3,CA,43.6315745,-79.5197196,416-234-1204,www.nofrills.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 8 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Nor-Arm Pharmacy,Pharmacy,"1280 Finch Avenue West, Unit 107, Toronto, ON",Toronto,Ontario,M3J 3K6,CA,43.7644571,-79.4887924,,norarmpharmacy.medmeapp.ca/schedule,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 6:30 p.m.",-,40+,
Northcliffe Pharmacy,Pharmacy,"1751 Eglinton Avenue West, Toronto, ON",Toronto,Ontario,M6E 2H7,CA,43.6960021,-79.4478439,416-256-7888,www.guardian-ida-pharmacies.ca/en/ontario/toronto/northcliff-pharmacy-7023147,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 9 a.m. to 10 a.m.",-,40+,
Pharmacare Drug Mart,Pharmacy,"891 Broadview Avenue, Toronto, ON",Toronto,Ontario,M4K 2P9,CA,43.680721,-79.3576452,416-424-1242,pharmacaredrugmart.square.site/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9:30 a.m. to 5:30 p.m.
Saturday: 9:30 a.m. to 2:30 p.m.",-,40+,
Pharmasave,Pharmacy,"3485 Kingston Road, Toronto, ON",Toronto,Ontario,M1M 1R4,CA,43.7375271,-79.2173581,416-261-3346,,AstraZeneca,Appoinment/Booking,"Sunday: 11 a.m. to 4 p.m.
Monday: 9:30 a.m. to 7 p.m.
Tuesday - Friday: 9:30 a.m. to 8 p.m.
Saturday: 10 a.m. to 6 p.m.",-,40+,
Pharmasave - Spadina's Neighbourhood Pharmacy,Pharmacy,"720 Spadina Avenue, Unit 100, Toronto, ON",Toronto,Ontario,M5S 2T9,CA,43.6653855,-79.4034771,,spadinamedicalpharmacy.medmeapp.ca/schedule,AstraZeneca,Appoinment/Booking,"Monday - Thursday: 9:30 a.m. to 6 p.m.
Friday: 9:30 a.m. to 5:45 p.m.
Saturday: 10 a.m. to 2 p.m.",-,40+,
Pharmasave Eagle Manor,Pharmacy,"1901 Weston Road, Toronto, ON",Toronto,Ontario,M9N 3P5,CA,43.7005399,-79.5161679,416-241-1115,eaglemanor.medmeapp.ca/schedule,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 9 a.m. to 6 p.m",-,40+,
Pharmasave Keele and Finch Pharmacy,Pharmacy,"1275 Finch Avenue West, Toronto, ON",Toronto,Ontario,M3J 2G5,CA,43.7639352,-79.4875255,647-349-2273,keeleandfinchpharmasave.medmeapp.ca/schedule,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 5 p.m.
Saturday: 9 a.m. to 3 p.m.",-,40+,
Pharmasave Toronto East,Pharmacy,"825 Coxwell Avenue, Unit C114, Toronto, ON",Toronto,Ontario,M4C 3E7,CA,43.6898713,-79.3248582,416-778-1221,www.tepharmasave.com,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 7:30 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Premier Pharmacy and Compounding Centre,Pharmacy,"3323 Bathurst Street, Toronto, ON",Toronto,Ontario,M6A 2B7,CA,43.725378,-79.4309518,647-347-1311,premierpharmacy.ca/,AstraZeneca,Appoinment/Booking,"Sunday: 10 a.m. to 3 p.m.
Monday - Thursday: 9 a.m. to 6:30 p.m.
Friday: 9 a.m. to 3 p.m.",-,40+,
Real Canadian Superstore,Pharmacy,"51 Gerry Fitzgerald Drive, Toronto, ON",Toronto,Ontario,M3J 3N4,CA,43.7847425,-79.4716943,416-665-7636,covid19.realcanadiansuperstore.ca/en?navid=flyout-L1-COVID-19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 8 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Real Canadian Superstore,Pharmacy,"825 Don Mills Road, Toronto, ON",Toronto,Ontario,M3C 1V4,CA,43.7227042,-79.3375083,416-391-4847,www.realcanadiansuperstore.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 7 a.m. to 8 p.m.
Saturday: 7 a.m. to 6 p.m.
Sunday: 10 a.m. to 6 p.m.",-,40+,
Real Canadian Superstore,Pharmacy,"2549 Weston Road, Toronto, ON",Toronto,Ontario,M9N 2A7,CA,43.7095985,-79.5337277,416-246-1417,www.realcanadiansuperstore.ca/covid199,Pfizer,Appoinment/Booking,"Monday - Friday: 8 a.m. to 8 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m",-,18+,
Rexall,Pharmacy,"1235 Wilson Avenue, Toronto, ON",Toronto,Ontario,M3M 0B2,CA,43.7237804,-79.4887557,,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday - Sunday: 10 a.m. to 4 p.m.",-,40+,
Rexall,Pharmacy,"325 Moore Avenue, Toronto, ON",Toronto,Ontario,M4G 3T6,CA,43.6966927,-79.369391,,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 8 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 9 a.m. to 5 p.m.",-,40+,
Rexall,Pharmacy,"481 Bloor Street West, Toronto, ON",Toronto,Ontario,M5S 1Y2,CA,43.6657664,-79.4071296,416-929-8213,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 8 p.m.
Saturday - Sunday: 8 a.m. to 6 p.m.",-,40+,
Rexall,Pharmacy,"345 Bloor Street, Unit 3, Toronto, ON",Toronto,Ontario,M4W 1H7,CA,43.6719243,-79.3782579,416-923-5962,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 9 p.m.
Saturday - Sunday: 8 a.m. to 6 p.m.",-,40+,
Rexall,Pharmacy,"285 Spadina Avenue, Toronto, ON",Toronto,Ontario,M5T 2E6,CA,43.6532479,-79.3978375,416-596-1602,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Sunday: 9 a.m. to 8 p.m.,-,40+,
Rexall,Pharmacy,"3402 Yonge Street,Toronto, ON",Toronto,Ontario,M4N 2M9,CA,43.7330711,-79.4042829,416-544-0746,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 9 p.m.
Saturday - Sunday: 9 a.m. to 6 p.m",-,40+,
Rexall,Pharmacy,"3701 Lake Shore Boulevard West, Toronto, ON",Toronto,Ontario,M8W 1P8,CA,43.5930846,-79.5384814,416-259-3777,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 9 p.m.
Sunday: 9 a.m. to 6 p.m.",-,40+,
Rexall,Pharmacy,"87 Avenue Road, Toronto, ON",Toronto,Ontario,M5R 3R9,CA,43.6719078,-79.3948697,416-922-5555,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 8 p.m.
Saturday - Sunday: 9 a.m. to 6 p.m.",-,40+,
Rexall,Pharmacy,"63 Front Street East, Toronto, ON",Toronto,Ontario,M5E 1B3,CA,43.6482103,-79.3738649,416-607-6387,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 9 p.m.
Saturday - Sunday: 8 a.m. to 6 p.m.",-,40+,
Rexall,Pharmacy,"4789 Yonge Street, Unit 2, Toronto, ON",Toronto,Ontario,M2N 0G3,CA,43.7613561,-79.4102084,416-733-0161,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 10 p.m.
Saturday - Sunday: 9 a.m. to 10 p.m.",-,40+,
Rexall,Pharmacy,"199 Bay Street, Unit C186, Toronto, ON",Toronto,Ontario,M5L 1E7,CA,43.6481342,-79.3794903,416-365-0972,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Friday: 9 a.m. to 5 p.m.,-,40+,
Rexall,Pharmacy,"474 Spadina Avenue, Toronto, ON",Toronto,Ontario,M5T 2G8,CA,43.6577255,-79.400333,416-413-1060,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Sunday: 9 a.m. to 10 p.m.,-,40+,
Rexall,Pharmacy,"595 Bay Street, Toronto, ON",Toronto,Ontario,M5G 2C2,CA,43.6562198,-79.3832909,416-591-1414,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Friday: 9 a.m. to 5 p.m.,-,40+,
Rexall,Pharmacy,"539 Parliament Street, Toronto, ON",Toronto,Ontario,M4X 1P7,CA,43.6661388,-79.3683352,416-926-1658,www.rexall.ca/covid-19/vaccines,Pfizer,Appoinment/Booking,Monday - Sunday: 9 a.m. to 9 p.m.,-,18+,
Rexall,Pharmacy,"600 University Avenue, Toronto, ON",Toronto,Ontario,M5G 1X5,CA,43.6575156,-79.3901743,416-977-0408,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 8 p.m.
Saturday - Sunday: 10 a.m. to 6 p.m.",-,40+,
Rexall,Pharmacy,"2 St. Clair Avenue East, Unit C001, Toronto, ON",Toronto,Ontario,M4T 2T5,CA,43.6884661,-79.3938,416-921-2171,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 8 p.m.
Saturday: 8 a.m. to 8 p.m.
Sunday: 9 a.m. to 6 p.m.",-,40+,
Rexall,Pharmacy,"63 Wellesley Street East, Toronto, ON",Toronto,Ontario,M4Y 1G7,CA,43.6653729,-79.3811801,416-924-7760,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Rexall,Pharmacy,"250 University Avenue, Unit 120 Toronto, ON",Toronto,Ontario,M5H 3E5,CA,43.6505493,-79.3870518,416-591-6493,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Rexall,Pharmacy,"88 Queens Quay West, Toronto, ON",Toronto,Ontario,M5J 0B8,CA,43.6410825,-79.3787196,416-607-5552,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Friday: 9 a.m. to 6 p.m,-,40+,
Rexall,Pharmacy,"200 Wellington Street West, Unit 200, Toronto, ON",Toronto,Ontario,M5V 3C7,CA,43.6459076,-79.3878224,416-979-1206,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Friday: 9 a.m. to 5 p.m.,-,40+,
Rexall,Pharmacy,"120 Adelaide Street West, Unit R28, Toronto, ON",Toronto,Ontario,M5H 1T1,CA,43.6497566,-79.3830492,416-368-2743,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Friday: 9 a.m. to 5 p.m,-,40+,
Rexall,Pharmacy,"2300 Yonge Street Toronto, ON",Toronto,Ontario,M4P 1E4,CA,43.7072693,-79.3996009,416-484-4540,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Rexall,Pharmacy,"1245 Dupont Street, Toronto, ON",Toronto,Ontario,M6H 2A6,CA,43.6676544,-79.4420834,416-537-0805,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 10 p.m.
Saturday: 8 a.m. to 9 p.m.
Sunday: 8 a.m. to 7 p.m.",-,40+,
Rexall,Pharmacy,"777 Bay Street, Unit C 216, Toronto, ON",Toronto,Ontario,M5G 2C8,CA,43.6606503,-79.3854781,416-977-5824,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Rexall,Pharmacy,"1 First Canadian Place, Unit CN1038, Toronto, ON",Toronto,Ontario,M5X 1C8,CA,43.648566,-79.381807,416-362-6480,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Friday: 9 a.m. to 5 p.m.,-,40+,
Rexall,Pharmacy,"1115 Wilson Avenue, Toronto, ON",Toronto,Ontario,M3M 1H2,CA,43.725741,-79.4830004,,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday - Sunday: 9 a.m. to 6 p.m.",-,40+,
Rexall,Pharmacy,"901 Eglinton Avenue West, Toronto, ON",Toronto,Ontario,M6C 2C1,CA,43.7004362,-79.427079,,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Rylander Pharmasave,Pharmacy,"6758 Kingston Road, Unit 8, Toronto, ON",Toronto,Ontario,M1B 1G8,CA,43.7984704,-79.1481948,,rylanderpharmasave.medmeapp.ca/schedule/614,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 9 a.m. to 3 p.m.",-,40+,
